sample,batch,"Nonanedioic acid, monomethylester_1","Nonanedioic acid, monomethylester_2",n-C12:0,i-C14:0,n-C14:0,m-C15:0_1,m-C15:0_2,i-C15:0,ai-C15:0,n-C15:0,m-C16:0_1,C16:1 w7 (trans),i-C16:0,C16:2,C16:1 w7 (c) + C16:1 w9,C16:1 w7 (cis),C16:1 w5,n-C16:0,diacid_unknown1,10_14_DiMe_C17,C17:1 w8 (t) + 12Me-C17:0,10Me_C17:0,m-C17:0 eh,C17:1 w8 (trans),C17:1 w8 (cis),C17_cyclic,m-C17:0_2,i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,m-C18:0_1,m-C18:0_2,C18:1 w9,C18:2_1,C18:2_2,C18:1 w7,unknown2,C18:1_1,n-C18:0,i-C19:0,m-C19:0_1 + i-C19:0,m-C19:0,C19:1_3,m-C20:0_1,n-C19:0 + m-C20:0_3,m-C20:0_3,diacid_unknown3,C16-diacid,C20:1_1,n-C20:0,m-C22:0-C2,m-C23:0-C2,n-C21:0,m-C23:0-C2 + n-C21:0,C18-diacid,n-C22:0,n-C23:0,C20-diacid,m-C27:0-C2,n-C24:0,n-C25:0,diacid_unknown7,C22-diacid,n-C26:0,sterol6,n-C28:0
HOP-20190805-A-11-P2,3,,,,,,,,,,,,-32.111,-31.927,,,-30.475,,-24.725,,-33.63,-26.922,,,,,,,,,-32.756,,,,,,,-18.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOP-20190805-A-11-P2,3,,,,,,,,,,,,-32.254,-32.233,,,-30.572,,-24.362,,-33.724,-26.578,,,,,,,,,-32.831,,,,,,,-18.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN-20190808-B-07-P2,3,,,,,,,,-31.154,,,,-32.439,-32.398,,,-28.476,,,,-33.679,-31.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN-20190808-B-07-P2,3,,,,,,,,-30.467,,,,-32.641,-32.655,,,-27.845,,,,-33.572,-30.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAL-20190802-A-02-P2,3,,,,,,,,,,,,-33.136,-33.361,,,-25.77,,-19.051,,-32.27,,,,-28.711,,,,,,-36.271,,,,-17.202,,,,-31.842,,-20.499,,,,,,,,,,,,,,,,,,,,,-19.281,,,,,,
VAL-20190802-A-02-P2,3,,,,,,,,,,,,-32.715,-33.093,,,-24.781,,-19.336,,-32.049,,,,-28.71,,,,,,-35.668,,,,-17.063,,,,-31.772,,-20.022,,,,,,,,,,,,,,,,,,,,,-18.018,,,,,,
POS-20190806-G-01-P2,3,,,,,-23.469,-15.854,,-16.687,-15.015,-22.698,,-21.097,-20.57,,,-23.203,-16.353,-21.702,,,-18.68,,,,-22.264,-22.944,,-19.253,-15.658,,,,,-19.27,-20.142,,-18.199,,,-20.07,,-16.058,,-19.326,,,,,-19.041,,-21.616,,,-19.442,,,-20.298,,,,-21.205,,,-24.243,-27.195,,
POS-20190806-G-01-P2,3,,,,,-23.464,-17.172,,-16.412,-15.01,-21.84,,-20.127,-20.759,,,-22.906,-16.191,-21.871,,,-18.891,,,,-22.932,-23.33,,-18.963,-16.049,,,,,-18.548,-20.192,,-18.325,,,-20.501,,-15.781,,-19.559,,,,,-19.97,,-21.482,,,-17.328,,,-20.408,,,,-21.206,-24.922,,-21.162,-22.998,,
LYO-20190803-F-01-P2,3,,,,,-24.265,,,-17.559,-15.496,-20.603,,-22.056,-21.186,,,-16.705,-16.044,-21.278,,,-18.73,,,,,-17.227,,-21.972,-17.094,-20.116,-21.947,,-15.534,-18.593,-20.136,,-17.459,,,-20.423,,-15.064,,-18.807,,,,,-16.502,,-17.707,,,-15.806,,-16.687,-17.622,-20.359,-18.433,-18.429,-18.448,,-33.673,-17.49,-25.619,,
LYO-20190803-F-01-P2,3,,,-21.528,,-24.351,,,-17.622,-15.686,-21.059,,-21.598,-21.048,,,-15.665,-15.329,-21.235,,,-19.043,,,,,-16.925,,-22.225,-16.569,-20.769,-21.98,,-14.694,-18.822,-20.059,,-18.354,,,-21.17,,-14.424,,-19.389,,,,,-17.269,,-17.774,,,-16.251,,-15.673,-17.283,-19.559,-17.973,-18.47,-18.233,,-23.792,-20.269,-20.832,,
